URL,Brand,Product Name,Model Number,Price,Ratings,Discount,Band Colour,Band Material,Band Width,Case Diameter,Case Material,Case Thickness,Dial Colour,Crystal Material,Case Shape,Movement,Water Resistance Depth,Special Features,ImageURL,image,price_band
https://www.amazon.in/Alexandre-Christie-2B13BFBRGPN-Womens-Multi-Function/dp/B0CSKK6D7K/ref=sr_1_72?dib=eyJ2IjoiMSJ9.PH4ms5BrzamnON4VnDzlGifw1mLiEDCbqis8OCUVZhiMzw4NCAb_efo-mFOiDMebbnjO92lZY1tYatnK5xNkWG3CNXT2bR9zZGJyzVR1-4ihKxQ6_KG_FvEkiuQjSjcA9LeYHP4qY9MZPgNaUTOTpsqqWAG71G5_LFRzsIwU-doRPzltP_1kXbIJxSIbsH4VHTJ7qBGz2XLuC3ArJ8pIFuT_F8u26FCRCH-_mMbIcQBGCcV6q4aNFp-4YCdlSX3UUam242M09ym7XtzRDvMWtPBmaAJWYoVsszt3N8CJIIU.RY9rTPtzhpTRWtmNagqDp_cye79n7NFTeSn7xclCW_Q&dib_tag=se&qid=1744806238&refinements=p_36%3A2490000-4050000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-72&xpid=NIOcc7XmuV-Ps,Alexandre Christie,2B13BFBRGPN Womens Multi-Function Watch 36 mm,2B13BFBRGPN,"25,997",,35%,Rose Gold,Stainless Steel,16 Millimeters,36 Millimeters,Stainless Steel,9 Millimeters,Pink,Crystal,Round,Quartz,30 Meters,Dual Time,https://m.media-amazon.com/images/I/61uF11L6ldL._AC_UL320_.jpg,,25k–40k
https://www.amazon.in/Alexandre-Christie-3030GCRIPBA-Chronograph-Watch/dp/B0DXPTCFXQ/ref=sr_1_88?dib=eyJ2IjoiMSJ9.PH4ms5BrzamnON4VnDzlGifw1mLiEDCbqis8OCUVZhiMzw4NCAb_efo-mFOiDMebbnjO92lZY1tYatnK5xNkWG3CNXT2bR9zZGJyzVR1-4ihKxQ6_KG_FvEkiuQjSjcA9LeYHP4qY9MZPgNaUTOTpsqqWAG71G5_LFRzsIwU-doRPzltP_1kXbIJxSIbsH4VHTJ7qBGz2XLuC3ArJ8pIFuT_F8u26FCRCH-_mMbIcQBGCcV6q4aNFp-4YCdlSX3UUam242M09ym7XtzRDvMWtPBmaAJWYoVsszt3N8CJIIU.RY9rTPtzhpTRWtmNagqDp_cye79n7NFTeSn7xclCW_Q&dib_tag=se&qid=1744806238&refinements=p_36%3A2490000-4050000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-88&xpid=NIOcc7XmuV-Ps,Alexandre Christie,3030GCRIPBA Men Chronograph Watch 42 mm,3030GCRIPBA,"29,895",,,Black,Rubber,24 Millimeters,47 Millimeters,Stainless Steel,13 Millimeters,Black,Mineral Glass,Square,Quartz,,,https://m.media-amazon.com/images/I/61voaPN78JL._AC_UL320_.jpg,,25k–40k
https://www.amazon.in/Analog-Green-Dial-Womens-Watch-Z34002L9MF/dp/B0CQRKZ2XH/ref=sr_1_54?dib=eyJ2IjoiMSJ9.sw-gg5aAgqwoCps22hShfwhsWaX7XZ5Te1HNkDOSGWltIowrDUyda4h_D3GbMQXSEBpE9_AQT8nxPLOQhd2fX5fBnAPQQAv9JBjaYjWUroL22ElsVx6pz2EiNRmmrWcTE73nNfv8I4XKAqxOKoMqodzZBzvIiLmM-Zh8skYrRZYb_79rf2-ws8potI9ECg9hoODB8K4pFAz-oWjoO6mHPXCuux7sU9iiGd0abABv11hd6BhFwp7TAOGKWGnRba0nXiqyi8ilkI9Ur9ATMlpccfat1sxf9sLZCvkbOosEKjU.JtokMTLc_7H6O3rqbzzIBV0upxBw6O-8rW1eaVdnVP0&dib_tag=se&qid=1744806559&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-54&xpid=NIOcc7XmuV-Ps,GUESS,GC Analog Green Dial Women's Watch-Z34002L9MF,Z34002L9MF,"45,995",,,Gold,Stainless Steel,18 Millimeters,34 Millimeters,Stainless Steel,9 Millimeters,Green,Mineral Glass,Round,Quartz,100 Meters,,https://m.media-amazon.com/images/I/71Y3tkI7oVL._AC_UL320_.jpg,,40k+
https://www.amazon.in/Analog-Silver-Dial-Womens-Watch-Z20002L1MF/dp/B0C4P8BCFK/ref=sr_1_63?dib=eyJ2IjoiMSJ9.sw-gg5aAgqwoCps22hShfwhsWaX7XZ5Te1HNkDOSGWltIowrDUyda4h_D3GbMQXSEBpE9_AQT8nxPLOQhd2fX5fBnAPQQAv9JBjaYjWUroL22ElsVx6pz2EiNRmmrWcTE73nNfv8I4XKAqxOKoMqodzZBzvIiLmM-Zh8skYrRZYb_79rf2-ws8potI9ECg9hoODB8K4pFAz-oWjoO6mHPXCuux7sU9iiGd0abABv11hd6BhFwp7TAOGKWGnRba0nXiqyi8ilkI9Ur9ATMlpccfat1sxf9sLZCvkbOosEKjU.JtokMTLc_7H6O3rqbzzIBV0upxBw6O-8rW1eaVdnVP0&dib_tag=se&qid=1744806559&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-63&xpid=NIOcc7XmuV-Ps,GUESS,GC Analog Silver Dial Women's Watch-Z20002L1MF,Z20002L1MF,"44,995",,,Multicolor,Stainless Steel,18 Millimeters,34 Millimeters,Stainless Steel,9 Millimeters,Silver,Mineral Glass,Round,Quartz,100 Meters,,https://m.media-amazon.com/images/I/71zZgBDRxWL._AC_UL320_.jpg,,40k+
https://www.amazon.in/Analog-White-Dial-Womens-Watch-Z22002L1MF/dp/B0BW9T7NFP/ref=sr_1_68?dib=eyJ2IjoiMSJ9.sw-gg5aAgqwoCps22hShfwhsWaX7XZ5Te1HNkDOSGWltIowrDUyda4h_D3GbMQXSEBpE9_AQT8nxPLOQhd2fX5fBnAPQQAv9JBjaYjWUroL22ElsVx6pz2EiNRmmrWcTE73nNfv8I4XKAqxOKoMqodzZBzvIiLmM-Zh8skYrRZYb_79rf2-ws8potI9ECg9hoODB8K4pFAz-oWjoO6mHPXCuux7sU9iiGd0abABv11hd6BhFwp7TAOGKWGnRba0nXiqyi8ilkI9Ur9ATMlpccfat1sxf9sLZCvkbOosEKjU.JtokMTLc_7H6O3rqbzzIBV0upxBw6O-8rW1eaVdnVP0&dib_tag=se&qid=1744806559&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-68&xpid=NIOcc7XmuV-Ps,GUESS,GC Analog White Dial Women's Watch-Z22002L1MF,Z22002L1MF,"42,995",,,Gold,Stainless Steel,15 Millimeters,11 Millimeters,Stainless Steel,11 Millimeters,White,Mineral Glass,Round,Quartz,100 Meters,,https://m.media-amazon.com/images/I/71g+IWm5feL._AC_UL320_.jpg,,40k+
https://www.amazon.in/Analog-White-Dial-Womens-Watch-Z25002L1MF/dp/B0CKHSJBKL/ref=sr_1_56?dib=eyJ2IjoiMSJ9.sw-gg5aAgqwoCps22hShfwhsWaX7XZ5Te1HNkDOSGWltIowrDUyda4h_D3GbMQXSEBpE9_AQT8nxPLOQhd2fX5fBnAPQQAv9JBjaYjWUroL22ElsVx6pz2EiNRmmrWcTE73nNfv8I4XKAqxOKoMqodzZBzvIiLmM-Zh8skYrRZYb_79rf2-ws8potI9ECg9hoODB8K4pFAz-oWjoO6mHPXCuux7sU9iiGd0abABv11hd6BhFwp7TAOGKWGnRba0nXiqyi8ilkI9Ur9ATMlpccfat1sxf9sLZCvkbOosEKjU.JtokMTLc_7H6O3rqbzzIBV0upxBw6O-8rW1eaVdnVP0&dib_tag=se&qid=1744806559&refinements=p_36%3A3980000-%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=3439816031&s=watch&sr=1-56&xpid=NIOcc7XmuV-Ps,GUESS,GC Analog White Dial Women's Watch-Z25002L1MF,Z25002L1MF,"41,995",,,Multicolor,Stainless Steel,22 Millimeters,11 Millimeters,Stainless Steel,11 Millimeters,White,Mineral Glass,Tonneau,Quartz,100 Meters,,https://m.media-amazon.com/images/I/71bqSq6Y82L._AC_UL320_.jpg,,40k+
https://www.amazon.in/Anne-Klein-Analog-Womens-Watch-AK3000RGBY/dp/B0B181T7NT/ref=sr_1_112?dib=eyJ2IjoiMSJ9.VoEiQpGgfb_Wjc11PbUzDsl8KowxWE1KCbCD-EzdW9mrJos6gMzX4YkG2zYhPjQAoCotrykzkkdPjp8vfP5MGO-qKthSb_t_X9o7jHwPniRjE1WkLAalmj4uHoI_aKfUe4cikwaykYWNNDKIcGgOh0AULR5AdBeDRkHcoBFn5xAZXz8TBw2l8UK1Fb9q43koIAUG9FNJta1lUDnlzIP4qlVKrf73xooxOIVRQmuxDovps-ynYm5Nm6IhNSGpvwl--vz2T-aoR_WUpTJDWKqy0ZzbjYn3fgBoTT4BeSuKq6U.cS8Ke0OS0OVL7--fX31WNc_yh9OuOB2Wfbm4rpB8lpU&dib_tag=se&qid=1744805261&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-112&xpid=NIOcc7XmuV-Ps,Anne Klein,Womens 34 mm Burgundy Dial Stainless Steel Analog Watch,WAK3000RGBY,"13,000",,,Pink,Alloy Steel,12 Millimeters,34 Millimeters,Stainless Steel,9 Millimeters,Burgundy,Mineral Glass,Round,Quartz,30 Meters,Crystal,https://m.media-amazon.com/images/I/51Hu9vGpvlL._AC_UL320_.jpg,,10k–15k
https://www.amazon.in/Armani-Exchange-Analog-Silver-Watch-AX5573/dp/B09BBK2MWW/ref=sr_1_47?dib=eyJ2IjoiMSJ9.uRY8AVVKqKS9DSyIVncDYJxefWtt08jsel_pbWEZnO9TTpJmr8Fr8ariOj2iUCtYFN35wu5hRzknyc0p_Fq-P3g_pWTJcYApkarg2Tugyah0OiYKl0hGxakC3hUfUVxtoCWmZbtUAheefeN4Dj2HO5AQajV81pGm__2HQsbpQ1Gx3stRAyMSTk032OrqYAjws34Gdni2TeNFzjs1976PP21TcxsUnWNTb_tg5kIFFqJb6BMMaWT-_eA_xk1bnZFVVXVH856YwBF9BhfVZzAYnlkZ5LTFBFru_Vq1T_dBuGM.aLhXxgxuN1hVDBuTj0u20zNF_gEc7JJ8TNDmT5aHfEo&dib_tag=se&qid=1744805245&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-47&xpid=NIOcc7XmuV-Ps,Armani Exchange,Analog Silver Dial Women's Stainless Steel Watch-Ax5573,AX5573,"11,196",4.4,20%,Gold,Stainless Steel,18 Millimeters,36 Millimeters,,6 Millimeters,,,Round,Quartz,30 Meters,measures seconds,https://m.media-amazon.com/images/I/81HX8vY1rmL._AC_UL320_.jpg,,10k–15k
https://www.amazon.in/Armani-Exchange-Analog-Silver-Watch-AX5811/dp/B0DSBRX69Y/ref=sr_1_62?dib=eyJ2IjoiMSJ9.tYLBRKX1WQIyqiHkNPqOLqLoSoW0Pcjm85lFLs2Ch5DOy8KceWwMSEruLlmCP4xAIlHcplb-yZTkkZ0amYOsPaAtmoVVGSH3x4KjYfTTTptUPkw_VaxIq9ASGNFokKfTdD56xTsV7G_XRUhK1KksvJ8WabSb7j9ki0peUcyQdI_8H1_v428WvUvrkzG5vtsrsuGA9T4USOI1K0CIeWNQK-dFpCwFsjhWc6N2Wp4tHhWuK3e96Dt2oArjfZsy29OVBZuEw2963Cd7VJJmeC9R657Yqnn-iBl-LCGbCDJ46_E.1KBbVn6EuNQhK8BeeqT6-AoEB-Kso0qXYJBzRzNpBvo&dib_tag=se&qid=1744805258&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-62&xpid=NIOcc7XmuV-Ps,Armani Exchange,Analog Silver Dial Women's Watch-AX5811,AX5811,"12,179",,3%,Gold,Stainless Steel,8 Millimeters,27 Millimeters,Stainless Steel,7 Millimeters,Silver,Glass,Rectangular,Quartz,50 Meters,,https://m.media-amazon.com/images/I/61rLQV9kVOL._AC_UL320_.jpg,,10k–15k
https://www.amazon.in/Armani-Exchange-Analog-Silver-Watch-AX5901/dp/B0846Q1JT5/ref=sr_1_63?dib=eyJ2IjoiMSJ9.tYLBRKX1WQIyqiHkNPqOLqLoSoW0Pcjm85lFLs2Ch5DOy8KceWwMSEruLlmCP4xAIlHcplb-yZTkkZ0amYOsPaAtmoVVGSH3x4KjYfTTTptUPkw_VaxIq9ASGNFokKfTdD56xTsV7G_XRUhK1KksvJ8WabSb7j9ki0peUcyQdI_8H1_v428WvUvrkzG5vtsrsuGA9T4USOI1K0CIeWNQK-dFpCwFsjhWc6N2Wp4tHhWuK3e96Dt2oArjfZsy29OVBZuEw2963Cd7VJJmeC9R657Yqnn-iBl-LCGbCDJ46_E.1KBbVn6EuNQhK8BeeqT6-AoEB-Kso0qXYJBzRzNpBvo&dib_tag=se&qid=1744805258&refinements=p_36%3A990000-1570000%2Cp_n_feature_seven_browse-bin%3A1480900031&rnid=1350387031&s=watch&sr=1-63&xpid=NIOcc7XmuV-Ps,Armani Exchange,Analog Silver Dial Women's Stainless Steel Watch-Ax5901,AX5901,"14,495",4.1,,Gold,Stainless Steel,16 Millimeters,36 Millimeters,,8 Millimeters,White,,Round,Quartz,30 Meters,Water Resistant,https://m.media-amazon.com/images/I/71eGDSgZZnL._AC_UL320_.jpg,,10k–15k
